TP_FUNDO_CLASSE,CNPJ_FUNDO_CLASSE,ID_SUBCLASSE,DT_COMPTC,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA,NR_COTST,CNPJ,nome_do_fundo
FI,02.764.336/0001-56,,2024-11-01,110188645.33,10.1542094,109874312.26,3015.63,10000.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-01,110188645.33,10.1542094,109874312.26,3015.63,10000.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-04,110230325.23,10.157511,109920984.52,15391.83,4444.44,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-04,110230325.23,10.157511,109920984.52,15391.83,4444.44,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-05,110293547.49,10.1619773,109927326.92,6680.5,48671.28,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-05,110293547.49,10.1619773,109927326.92,6680.5,48671.28,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-06,110446793.37,10.1646675,110116590.35,160161.78,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-06,110446793.37,10.1646675,110116590.35,160161.78,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-07,110205242.7,10.1672931,110149426.17,4392.51,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
FI,02.764.336/0001-56,,2024-11-07,110205242.7,10.1672931,110149426.17,4392.51,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-08,110257977.02,10.1708121,110187775.62,1931.66,1706.1,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-08,110257977.02,10.1708121,110187775.62,1931.66,1706.1,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-11,110308193.12,10.1742349,110149322.52,2157.63,77692.21,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-11,110308193.12,10.1742349,110149322.52,2157.63,77692.21,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-12,110312949.6,10.178085,110026741.95,28086.99,192350.52,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-12,110312949.6,10.178085,110026741.95,28086.99,192350.52,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-13,110219643.14,10.1809646,110059393.12,55250.18,53727.95,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-13,110219643.14,10.1809646,110059393.12,55250.18,53727.95,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-14,110215620.37,10.1841636,110096468.55,2494.05,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-14,110215620.37,10.1841636,110096468.55,2494.05,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-18,110278240.83,10.1886075,110144516.22,1906.45,1900.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-18,110278240.83,10.1886075,110144516.22,1906.45,1900.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-19,111045779.09,10.1919848,110897376.28,720249.8,3900.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-19,111045779.09,10.1919848,110897376.28,720249.8,3900.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-21,111100749.68,10.1961282,110777510.66,3942.37,168891.75,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-21,111100749.68,10.1961282,110777510.66,3942.37,168891.75,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-22,111016955.82,10.1992986,110165050.12,37903.13,684808.88,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-22,111016955.82,10.1992986,110165050.12,37903.13,684808.88,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-25,110381989.12,10.2024366,110202257.27,3312.37,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-25,110381989.12,10.2024366,110202257.27,3312.37,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-26,110454546.0,10.2058882,110262129.45,22589.37,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-26,110454546.0,10.2058882,110262129.45,22589.37,0.0,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-27,111869878.22,10.2096208,111538072.79,1362315.12,126697.41,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-27,111869878.22,10.2096208,111538072.79,1362315.12,126697.41,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-28,111778131.87,10.2115669,111513460.99,854.92,46727.59,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-28,111778131.87,10.2115669,111513460.99,854.92,46727.59,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-29,113914059.18,10.2139616,113355887.77,2143671.79,327395.64,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,02.764.336/0001-56,,2024-11-29,113914059.18,10.2139616,113355887.77,2143671.79,327395.64,2,2764336000156,ICATU SEG MODERADO B FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA
CLASSES - FIF,03.986.889/0001-16,,2024-11-01,10754454.75,10.9505362,10744088.4,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-04,11058427.99,11.25978784,11047509.8,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-05,11053896.93,11.2545984,11042418.2,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-06,11104014.74,11.30509799,11091965.73,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-07,10991835.8,11.19972887,10988583.11,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-08,10886358.1,11.09164859,10882540.44,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-11,10972525.16,11.17889838,10968145.33,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-12,10955326.0,11.16079553,10950383.77,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-13,10849171.02,11.05202603,10843664.87,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-14,11551259.46,11.74631534,11524864.91,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-18,11798518.82,11.97235653,11746644.61,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-19,11826868.32,12.00170254,11775437.36,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-21,11917977.66,12.07320949,11845596.21,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-22,12383022.9,12.51915002,12283129.53,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-25,12465468.63,12.59349281,12356070.76,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-26,12555917.29,12.68401936,12444890.63,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-27,12721153.66,12.81450382,12572915.1,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-28,12386762.94,12.47945771,12244185.53,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
CLASSES - FIF,03.986.889/0001-16,,2024-11-29,12625196.49,12.70702561,12467463.15,0.0,0.0,3,3986889000116,MÃNACO FUNDO DE INVESTIMENTO EM AÃÃES
FI,04.128.522/0001-24,,2024-11-01,23102085.0,49.182034588,23096245.75,0.0,0.0,114,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-01,23102085.0,49.182034588,23096245.75,0.0,0.0,114,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-04,23099966.06,49.177395734,23094067.31,0.0,0.0,114,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-04,23099966.06,49.177395734,23094067.31,0.0,0.0,114,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-05,23113893.03,49.206925658,23107934.78,0.0,0.0,114,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-05,23113893.03,49.206925658,23107934.78,0.0,0.0,114,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-06,23026755.34,49.021244606,23020737.59,0.0,0.0,114,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-06,23026755.34,49.021244606,23020737.59,0.0,0.0,114,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-07,23059974.51,49.093628564,22918948.26,0.0,135781.37,113,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-07,23059974.51,49.093628564,22918948.26,0.0,135781.37,113,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-08,22980122.85,49.213305585,22909503.61,0.0,65314.86,112,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-08,22980122.85,49.213305585,22909503.61,0.0,65314.86,112,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-11,22952756.99,49.294698354,22812833.41,0.0,134559.71,111,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-11,22952756.99,49.294698354,22812833.41,0.0,134559.71,111,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-12,22674967.25,48.985073764,22669543.88,0.0,0.0,111,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-12,22674967.25,48.985073764,22669543.88,0.0,0.0,111,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-13,22684279.88,49.005068244,22597850.9,0.0,80946.12,110,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-13,22684279.88,49.005068244,22597850.9,0.0,80946.12,110,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-14,22567709.33,48.927685061,22562166.97,0.0,0.0,110,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-14,22567709.33,48.927685061,22562166.97,0.0,0.0,110,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-18,22530435.77,48.846725652,21991931.17,0.0,532902.74,109,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-18,22530435.77,48.846725652,21991931.17,0.0,532902.74,109,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-19,21968981.24,48.783176551,21963319.89,0.0,0.0,109,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-19,21968981.24,48.783176551,21963319.89,0.0,0.0,109,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
FI,04.128.522/0001-24,,2024-11-21,21986299.61,48.8215106,21980578.77,0.0,0.0,109,4128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI
